Hospital ID,Hospital,Year,Salaries,Employee Benefits,Salaries & Benefits,Supplies,Insurance,Professional Fees,Total Operating Expense,Total Operating Revenue,Net Patient Revenue,Other Operating Revenue,Operating Income,Net Income,Salaries & Benefits %,Insurance %,Supplies %,Professional Fees %,Salary YoY Growth,Insurance YoY Growth,Revenue YoY Growth
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2020,267843323,114165209,382008532,68347978,3132848,19243996,669334831,638155332,570525179,67630153,-31179499,-8239158,57.07,0.47,10.21,2.88,,,
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2021,265281700,104622212,369903912,59724292,2804870,13076095,618924066,622058911,559523955,62534956,3134845,18344266,59.77,0.45,9.65,2.11,-3.17,-10.47,-2.52
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2022,280112703,120595430,400708133,66396822,3287220,18184788,674533437,687068136,641438671,45629465,12534699,28865058,59.41,0.49,9.84,2.7,8.33,17.2,10.45
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2023,308703903,123535222,432239125,71288703,3077933,30090049,736788318,722890825,688155872,34734953,-13897493,7507297,58.67,0.42,9.68,4.08,7.87,-6.37,5.21
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2024,321666164,123223502,444889666,83660532,4308737,42735890,805244135,863714094,820672959,43041135,58469959,96837082,55.25,0.54,10.39,5.31,2.93,39.99,19.48
106010846,HIGHLAND HOSPITAL,2020,373937900,168431916,542369816,71258157,3435669,28948497,932885896,603370321,402840368,200529953,-329515575,-328603225,58.14,0.37,7.64,3.1,,,
106010846,HIGHLAND HOSPITAL,2021,432167019,136171359,568338378,79914417,4574986,27986426,981368761,1362787341,1324996647,37790694,381418580,381418580,57.91,0.47,8.14,2.85,4.79,33.16,125.86
106010846,HIGHLAND HOSPITAL,2022,459617179,141533042,601150221,93155144,4921942,43164632,1022845626,746102333,701980348,44121985,-276743293,155387710,58.77,0.48,9.11,4.22,5.77,7.58,-45.25
106010846,HIGHLAND HOSPITAL,2023,510397163,162383391,672780554,109991844,4284405,60496284,1241328892,735520300,691516380,44003920,-505808592,83284279,54.2,0.35,8.86,4.87,11.92,-12.95,-1.42
106010846,HIGHLAND HOSPITAL,2024,535970507,173715818,709686325,118951681,7461894,40739234,1242596903,719938130,665839950,54098180,-522658773,10689141,57.11,0.6,9.57,3.28,5.49,74.16,-2.12
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2020,24933219,6377040,31310259,5374266,633015,162252,62463922,54082840,53884503,198337,-8381082,-8330353,50.13,1.01,8.6,0.26,,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2021,28946707,6912436,35859143,5605508,585410,3852723,72151743,66947851,66679136,268715,-5203892,-5117632,49.7,0.81,7.77,5.34,14.53,-7.52,23.79
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2022,26601145,6237267,32838412,4670536,519543,3089615,66713469,53498186,53306742,191444,-13215283,-13131731,49.22,0.78,7.0,4.63,-8.42,-11.25,-20.09
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2023,26708522,5853127,32561649,4334312,1097415,7499615,68354149,55563955,55398923,165032,-12790194,-12617711,47.64,1.61,6.34,10.97,-0.84,111.23,3.86
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2024,32805227,6794426,39599653,4433703,746560,2681795,68278938,66556797,66185559,371238,-1722141,-1617471,58.0,1.09,6.49,3.93,21.61,-31.97,19.78
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,2020,211075882,97416567,308492449,83102245,1885993,11369532,602169590,524679689,438660804,86018885,-77489901,4404794,51.23,0.31,13.8,1.89,,,
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,2021,210495393,88092319,298587712,90459955,1877939,17298683,601085325,587694295,496694044,91000251,-13391030,50743688,49.67,0.31,15.05,2.88,-3.21,-0.43,12.01
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,2022,169099047,71764624,240863671,93977418,1798816,39208236,535965669,528529083,513935667,14593416,-7436586,-13758162,44.94,0.34,17.53,7.32,-19.33,-4.21,-10.07
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,2023,186182302,81242375,267424677,98048082,1847014,25495368,594199927,568661914,536223218,32438696,-25538013,7961596,45.01,0.31,16.5,4.29,11.03,2.68,7.59
106010937,ALTA BATES SUMMIT MEDICAL CENTER,2024,212308183,88778167,301086350,112886890,1656030,10107186,637946253,600405820,593502188,6903632,-37540433,-18510943,47.2,0.26,17.7,1.58,12.59,-10.34,5.58
106010967,ST. ROSE HOSPITAL,2020,60971502,14289328,75260830,10968326,500000,1812178,126395960,121014493,100655824,20358669,-5381467,-3663353,59.54,0.4,8.68,1.43,,,
106010967,ST. ROSE HOSPITAL,2021,55352613,20422291,75774904,12301815,500000,1732793,124726117,116580296,102697874,13882422,-8145821,-6091598,60.75,0.4,9.86,1.39,0.68,0.0,-3.66
106010967,ST. ROSE HOSPITAL,2022,55847277,21386053,77233330,12109185,450000,2801110,126551085,118276234,105219764,13056470,-8274851,-6095248,61.03,0.36,9.57,2.21,1.92,-10.0,1.45
106010967,ST. ROSE HOSPITAL,2023,56725523,22400110,79125633,12258199,450000,4167094,129932685,117431338,96705913,20725425,-12501347,-10554157,60.9,0.35,9.43,3.21,2.45,0.0,-0.71
106010967,ST. ROSE HOSPITAL,2024,60151963,22124325,82276288,10521395,450000,4155400,141896039,133167937,111592015,21575922,-8728102,-5829963,57.98,0.32,7.41,2.93,3.98,0.0,13.4
106010987,WASHINGTON HOSPITAL - FREMONT,2020,179774759,102771458,282546217,57648095,1230241,9708649,489857058,485435503,448259782,37175721,-4421555,25023178,57.68,0.25,11.77,1.98,,,
106010987,WASHINGTON HOSPITAL - FREMONT,2021,189614219,98138723,287752942,63233526,1308510,7519123,502806325,473634768,465069876,8564892,-29171557,-7660432,57.23,0.26,12.58,1.5,1.84,6.36,-2.43
106010987,WASHINGTON HOSPITAL - FREMONT,2022,203442203,88059933,291502136,69932712,1697414,12363432,517728664,524663870,516119636,8544234,6935206,19797256,56.3,0.33,13.51,2.39,1.3,29.72,10.77
106010987,WASHINGTON HOSPITAL - FREMONT,2023,219728900,126893637,346622537,70493944,2251314,18879267,585069406,551850861,533049142,18801719,-33218545,-8772789,59.24,0.38,12.05,3.23,18.91,32.63,5.18
106010987,WASHINGTON HOSPITAL - FREMONT,2024,272437713,70056897,342494610,75275148,2469909,7191361,581792069,556173390,544625966,11547424,-25618679,19273960,58.87,0.42,12.94,1.24,-1.19,9.71,0.78
106013687,MERRITT PERALTA INSTITUTE CDRH,2020,2528606,923407,3452013,656842,18617,1554,5971773,9238562,9237598,964,3266789,3266789,57.81,0.31,11.0,0.03,,,
106013687,MERRITT PERALTA INSTITUTE CDRH,2021,2470552,780293,3250845,557263,14769,5477,5497131,11183855,11183797,58,5686724,5686724,59.14,0.27,10.14,0.1,-5.83,-20.67,21.06
106013687,MERRITT PERALTA INSTITUTE CDRH,2022,2631818,788261,3420079,583793,15060,198322,5730022,11174755,11174755,0,5444733,5444963,59.69,0.26,10.19,3.46,5.21,1.97,-0.08
106013687,MERRITT PERALTA INSTITUTE CDRH,2023,2610561,900953,3511514,499664,15463,791,5931548,9489634,9489634,0,3558086,3561794,59.2,0.26,8.42,0.01,2.67,2.68,-15.08
106013687,MERRITT PERALTA INSTITUTE CDRH,2024,2897148,1013352,3910500,440957,8830,599,5681037,5386252,5386252,0,-294785,-294575,68.83,0.16,7.76,0.01,11.36,-42.9,-43.24
106014034,FREMONT HOSPITAL,2020,23839726,3430830,27270556,2137405,379886,0,41718040,62002066,61189918,812148,20284026,21130530,65.37,0.91,5.12,0.0,,,
106014034,FREMONT HOSPITAL,2021,25441421,4301127,29742548,2058763,566717,0,44407263,63311508,63307559,3949,18904245,19399021,66.98,1.28,4.64,0.0,9.06,49.18,2.11
106014034,FREMONT HOSPITAL,2022,29127030,4317198,33444228,2454099,523880,0,50219273,69060515,69060148,367,18841242,19456014,66.6,1.04,4.89,0.0,12.45,-7.56,9.08
106014034,FREMONT HOSPITAL,2023,32046271,4936586,36982857,2558733,636352,0,55570142,79862755,79507484,355271,24292613,25627476,66.55,1.15,4.6,0.0,10.58,21.47,15.64
106014034,FREMONT HOSPITAL,2024,31631694,4566227,36197921,2934408,857059,0,56616083,84927226,84926730,496,28311143,29477968,63.94,1.51,5.18,0.0,-2.12,34.68,6.34
106014050,VALLEYCARE MEDICAL CENTER,2020,108245305,51766926,160012231,40045511,1835404,9023322,315301422,313165503,295099310,18066193,-2135919,-1972000,50.75,0.58,12.7,2.86,,,
106014050,VALLEYCARE MEDICAL CENTER,2021,117703238,59850588,177553826,49520478,2321527,15041900,348984063,355142877,347183774,7959103,6158814,5577251,50.88,0.67,14.19,4.31,10.96,26.49,13.4
106014050,STANFORD HEALTH CARE TRI-VALLEY,2022,144704662,67807499,212512161,56708547,3217765,36690495,406915327,420212404,413718357,6494047,13297077,13378709,52.23,0.79,13.94,9.02,19.69,38.61,18.32
106014050,STANFORD HEALTH CARE TRI-VALLEY,2023,176884293,79979647,256863940,68238936,3314985,25414719,462795157,473664727,467587272,6077455,10869570,14058563,55.5,0.72,14.74,5.49,20.87,3.02,12.72
106014050,STANFORD HEALTH CARE TRI-VALLEY,2024,205137638,92024613,297162251,80698999,3874130,12561413,522462161,533104519,530590249,2514270,10642358,14330188,56.88,0.74,15.45,2.4,15.69,16.87,12.55
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,2020,0,0,0,0,185816,0,0,0,0,0,0,0,,,,,,,
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,2021,82931288,36010117,118941405,21772200,132069,6485642,303775024,310939942,283617930,27322012,7164918,7164779,39.15,0.04,7.17,2.14,,-28.92,
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,2022,86190561,35832206,122022767,22802632,137950,12209889,316341077,329081667,296227128,32854539,12740590,12731096,38.57,0.04,7.21,3.86,2.59,4.45,5.83
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,2023,90032098,30775715,120807813,22004064,278845,7274079,325019075,341450459,311856952,29593507,16431384,15971858,37.17,0.09,6.77,2.24,-1.0,102.13,3.76
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,2024,97040789,35741207,132781996,23856680,128270,5370592,358249467,388617332,350424742,38192590,30367865,30351791,37.06,0.04,6.66,1.5,9.91,-54.0,13.81
106014207,TELECARE HERITAGE - PHF,2020,4373021,1227221,5600242,371968,89784,595147,10960035,11080139,11075332,4807,120104,120104,51.1,0.82,3.39,5.43,,,
106014207,TELECARE HERITAGE - PHF,2021,4511583,1336047,5847630,469619,87946,270991,10652257,11077970,11076232,1738,425713,425713,54.9,0.83,4.41,2.54,4.42,-2.05,-0.02
106014207,TELECARE HERITAGE - PHF,2022,3973574,1063549,5037123,514121,90972,285979,11109830,9854921,9853353,1568,-1254909,-1254909,45.34,0.82,4.63,2.57,-13.86,3.44,-11.04
106014207,TELECARE HERITAGE - PHF,2023,5357363,1393702,6751065,627851,93096,28800,12483957,12009116,12005734,3382,-474841,-474841,54.08,0.75,5.03,0.23,34.03,2.33,21.86
106014207,TELECARE HERITAGE - PHF,2024,6640224,1512584,8152808,520917,101738,40000,12614438,12512115,12511108,1007,-102323,-102323,64.63,0.81,4.13,0.32,20.76,9.28,4.19
106014226,TELECARE WILLOW ROCK CENTER - PHF,2020,2969095,916374,3885469,183006,51810,585647,7483965,7906263,7905919,344,422298,418889,51.92,0.69,2.45,7.83,,,
106014226,TELECARE WILLOW ROCK CENTER - PHF,2021,3022398,840855,3863253,186508,55466,797140,7250952,7775559,7774246,1313,524607,524607,53.28,0.76,2.57,10.99,-0.57,7.06,-1.65
106014226,TELECARE WILLOW ROCK CENTER - PHF,2022,2896409,806682,3703091,191562,55593,839570,7572821,7939873,7939527,346,367052,367052,48.9,0.73,2.53,11.09,-4.15,0.23,2.11
106014226,TELECARE WILLOW ROCK CENTER - PHF,2023,3255318,880873,4136191,214456,55175,835386,8004547,8591496,8591210,286,586949,586949,51.67,0.69,2.68,10.44,11.7,-0.75,8.21
106014226,TELECARE WILLOW ROCK CENTER - PHF,2024,3576639,1054184,4630823,227837,60838,840040,7634604,8152864,8152837,27,518260,518260,60.66,0.8,2.98,11.0,11.96,10.26,-5.11
106014233,EDEN MEDICAL CENTER,2020,118328043,59352709,177680752,32436242,1773179,4785588,337887461,348143806,330246238,17897568,10256345,12536648,52.59,0.52,9.6,1.42,,,
106014233,EDEN MEDICAL CENTER,2021,119661830,56067225,175729055,35401611,1996589,9025583,342786255,364731387,358846975,5884412,21945132,39753498,51.26,0.58,10.33,2.63,-1.1,12.6,4.76
106014233,EDEN MEDICAL CENTER,2022,121182133,51857518,173039651,37804727,1946992,24625713,373914499,401135101,389793634,11341467,27220602,23625574,46.28,0.52,10.11,6.59,-1.53,-2.48,9.98
106014233,EDEN MEDICAL CENTER,2023,132256302,56134023,188390325,39326357,1927127,21789238,407364051,416583278,406536980,10046298,9219227,31659340,46.25,0.47,9.65,5.35,8.87,-1.02,3.85
106014233,EDEN MEDICAL CENTER,2024,146703043,61092883,207795926,40222509,1743017,18533178,435600377,477795799,466938504,10857295,42195422,54164629,47.7,0.4,9.23,4.25,10.3,-9.55,14.69
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,2020,0,0,0,0,1550121,0,0,0,0,0,0,0,,,,,,,
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,2021,354992555,157520315,512512870,121559755,1828155,37329547,1276545958,1119187267,1005588127,113599140,-157358691,-157238629,40.15,0.14,9.52,2.92,,17.94,
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,2022,366105458,157715208,523820666,117938013,2675704,51189239,1260651974,1229737465,1118718338,111019127,-30914509,-30947168,41.55,0.21,9.36,4.06,2.21,46.36,9.88
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,2023,381571857,135050696,516622553,123291565,3578388,41630870,1296605960,1326504496,1209372675,117131821,29898536,29985650,39.84,0.28,9.51,3.21,-1.37,33.74,7.87
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,2024,402244650,152132365,554377015,121328628,3040422,27289058,1399057866,1488491967,1323674153,164817814,89434101,89080005,39.63,0.22,8.67,1.95,7.31,-15.03,12.21
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2020,0,0,0,0,43444,0,0,0,0,0,0,0,,,,,,,
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2021,176298730,76784326,253083056,47541588,87009,11321501,646443204,715479295,643895815,71583480,69036091,91150586,39.15,0.01,7.35,1.75,,100.28,
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2022,180168572,76459952,256628524,51557923,24624,27625480,644495724,713533194,652463200,61069994,69037470,68284881,39.82,0.0,8.0,4.29,1.4,-71.7,-0.27
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2023,188108784,66008768,254117552,53884219,16714,23370817,673015628,663447145,596903701,66543444,-9568483,-9826275,37.76,0.0,8.01,3.47,-0.98,-32.12,-7.02
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2024,199043040,74763125,273806165,53926259,15331,15857061,727537028,766029289,681438142,84591147,38492261,34846368,37.63,0.0,7.41,2.18,7.75,-8.27,15.46
106015000,KAISER FOUNDATION NORTHERN REGION,2020,0,0,0,0,0,0,10823929032,11259813405,10502461995,757351410,435884373,609745301,0.0,0.0,0.0,0.0,,,
106015000,KAISER FOUNDATION NORTHERN REGION,2021,0,0,0,0,0,0,12318959611,12427511863,11486475286,941036577,108552252,263262092,0.0,0.0,0.0,0.0,,,10.37
106015000,KAISER FOUNDATION NORTHERN REGION,2022,0,0,0,0,0,0,12531752187,13196814406,12110619334,1086195072,665062219,925657732,0.0,0.0,0.0,0.0,,,6.19
106015000,KAISER FOUNDATION NORTHERN REGION,2023,0,0,0,0,0,0,13227417916,13670116989,12473492003,1196624986,442699073,1409193418,0.0,0.0,0.0,0.0,,,3.59
106015000,KAISER FOUNDATION NORTHERN REGION,2024,0,0,0,0,0,0,14465420610,15587657742,14087743886,1499913856,1122237132,2123717585,0.0,0.0,0.0,0.0,,,14.03
106034002,SUTTER AMADOR HOSPITAL,2020,34361116,16555687,50916803,10728172,533875,1437692,92678301,108780086,95033077,13747009,16101785,16074468,54.94,0.58,11.58,1.55,,,
106034002,SUTTER AMADOR HOSPITAL,2021,35144514,16236433,51380947,12818948,542535,2110573,94914336,109357127,108679405,677722,14442791,18918076,54.13,0.57,13.51,2.22,0.91,1.62,0.53
106034002,SUTTER AMADOR HOSPITAL,2022,35115761,15112203,50227964,12708116,520018,6118794,97801211,109274536,108854172,420364,11473325,9724479,51.36,0.53,12.99,6.26,-2.24,-4.15,-0.08
106034002,SUTTER AMADOR HOSPITAL,2023,38634959,17069620,55704579,9702788,548805,4607877,101383846,106545021,106095449,449572,5161175,10371813,54.94,0.54,9.57,4.54,10.9,5.54,-2.5
106034002,SUTTER AMADOR HOSPITAL,2024,43008633,18514787,61523420,7444809,456668,2235415,104924331,111169581,110618253,551328,6245250,8780467,58.64,0.44,7.1,2.13,10.45,-16.79,4.34
106040802,ORCHARD HOSPITAL,2020,13414930,3178866,16593796,2465734,174273,148547,30550009,29895877,28667907,1227970,-654132,1132401,54.32,0.57,8.07,0.49,,,
106040802,ORCHARD HOSPITAL,2021,14247285,4029240,18276525,2435810,178159,40100,32338441,38634487,31363188,7271299,6296046,7269892,56.52,0.55,7.53,0.12,10.14,2.23,29.23
106040802,ORCHARD HOSPITAL,2022,12428394,2791226,15219620,2015684,131909,82085,26760659,23526196,21946516,1579680,-3234463,-2177552,56.87,0.49,7.53,0.31,-16.73,-25.96,-39.11
106040802,ORCHARD HOSPITAL,2023,13930077,3575016,17505093,1900273,164781,90622,29847887,26836160,26192821,643339,-3011727,-2262154,58.65,0.55,6.37,0.3,15.02,24.92,14.07
106040802,ORCHARD HOSPITAL,2024,14205816,2930431,17136247,1793475,156124,0,30111118,30071962,29644572,427390,-39156,732877,56.91,0.52,5.96,0.0,-2.11,-5.25,12.06
106040937,OROVILLE HOSPITAL,2020,113133074,44153319,157286393,45608365,1948387,10996148,327179795,334527418,314504192,20023226,7347623,14384343,48.07,0.6,13.94,3.36,,,
106040937,OROVILLE HOSPITAL,2021,121287915,53287587,174575502,53336147,2083514,9923529,359162287,369966742,354023537,15943205,10804455,14921287,48.61,0.58,14.85,2.76,10.99,6.94,10.59
106040937,OROVILLE HOSPITAL,2022,128900915,51242739,180143654,55359120,2117598,20278890,388902684,383753868,355440825,28313043,-5148816,-3771412,46.32,0.54,14.23,5.21,3.19,1.64,3.73
106040937,OROVILLE HOSPITAL,2023,125900272,54905793,180806065,52881726,2185571,9591464,384752614,393497183,388200627,5296556,8744569,11975818,46.99,0.57,13.74,2.49,0.37,3.21,2.54
106040937,OROVILLE HOSPITAL,2024,130081336,57791115,187872451,58927988,2447908,8700693,406279336,424637493,413034971,11602522,18358157,32077055,46.24,0.6,14.5,2.14,3.91,12.0,7.91
106040962,ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,2020,228892236,114090349,342982585,89876187,2389090,17424674,680505413,671751370,653939888,17811482,-8754043,-3341233,50.4,0.35,13.21,2.56,,,
106040962,ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,2021,246696198,123390732,370086930,101793436,2702308,9059156,733368901,799030930,774165961,24864969,65662029,98073188,50.46,0.37,13.88,1.24,7.9,13.11,18.95
106040962,ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,2022,258240461,126101299,384341760,103903769,2872863,24384692,780744773,787055248,770900060,16155188,6310475,-29008514,49.23,0.37,13.31,3.12,3.85,6.31,-1.5
106040962,ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,2023,268857540,136325936,405183476,124486002,4227323,23032325,837673460,851177296,847171640,4005656,13503836,21537535,48.37,0.5,14.86,2.75,5.42,47.15,8.15
106040962,ENLOE HEALTH,2024,288982570,143626851,432609421,153029973,3952846,17478791,937747093,993055858,984752566,8303292,55308765,74242810,46.13,0.42,16.32,1.86,6.77,-6.49,16.67
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,2020,0,0,0,0,0,0,5331387,1887866,1887866,0,-3443521,-3443521,0.0,0.0,0.0,0.0,,,
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,2021,0,0,0,0,0,0,5740941,2359893,2359893,0,-3381048,-3381048,0.0,0.0,0.0,0.0,,,25.0
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,2022,0,0,0,0,0,0,4372754,1816535,1816535,0,-2556219,-2556219,0.0,0.0,0.0,0.0,,,-23.02
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,2023,0,0,0,0,0,0,4013819,1906084,1906084,0,-2107735,-2107735,0.0,0.0,0.0,0.0,,,4.93
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,2024,0,0,0,0,0,0,5650688,5111033,5111033,0,-539655,-539655,0.0,0.0,0.0,0.0,,,168.14
106050932,MARK TWAIN MEDICAL CENTER,2020,24465139,13304140,37769279,8115222,593190,1320443,72523011,69061639,63674286,5387353,-3461372,9638748,52.08,0.82,11.19,1.82,,,
106050932,MARK TWAIN MEDICAL CENTER,2021,27204121,14927905,42132026,8166499,777839,1616614,76060468,72766935,70418159,2348776,-3293533,-2747830,55.39,1.02,10.74,2.13,11.55,31.13,5.37
106050932,MARK TWAIN MEDICAL CENTER,2022,26847979,15135380,41983359,10028513,218389,4027132,77793764,71355303,69065852,2289451,-6438461,-4978099,53.97,0.28,12.89,5.18,-0.35,-71.92,-1.94
106050932,MARK TWAIN MEDICAL CENTER,2023,28626625,17086450,45713075,9458026,416941,3621709,81144460,78746027,76460076,2285951,-2398433,-1677070,56.34,0.51,11.66,4.46,8.88,90.92,10.36
106050932,MARK TWAIN MEDICAL CENTER,2024,31728443,16538457,48266900,10952087,376400,2411770,84727354,85131696,84347241,784455,404342,997202,56.97,0.44,12.93,2.85,5.59,-9.72,8.11
106060870,COLUSA MEDICAL CENTER,2020,8976866,2485555,11462421,1668734,301272,1276268,20272380,20398050,20337450,60600,125670,4656855,56.54,1.49,8.23,6.3,,,
106060870,COLUSA MEDICAL CENTER,2021,10863546,3304547,14168093,1530564,273363,3614551,29778024,26094874,25968186,126688,-3683150,-951675,47.58,0.92,5.14,12.14,23.6,-9.26,27.93
106060870,COLUSA MEDICAL CENTER,2022,13501675,2564199,16065874,2239019,674599,4737951,33664666,26656230,26569061,87169,-7008436,-2713715,47.72,2.0,6.65,14.07,13.39,146.78,2.15
106060870,COLUSA MEDICAL CENTER,2023,13076955,2518272,15595227,1961798,137506,3547521,30126433,32921186,32717530,203656,2794753,3473235,51.77,0.46,6.51,11.78,-2.93,-79.62,23.5
106060870,COLUSA MEDICAL CENTER,2024,14635868,2661151,17297019,2610226,334830,5023092,36518081,41424147,41192236,231911,4906066,5305022,47.37,0.92,7.15,13.76,10.91,143.5,25.83
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2020,222313723,190340393,412654116,58784944,3043725,21706512,640520410,620864948,507677329,113187619,-19655462,48996509,64.42,0.48,9.18,3.39,,,
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2021,238472992,202949629,441422621,72723187,3370912,29554221,687849781,655980027,552403008,103577019,-31869754,24843062,64.17,0.49,10.57,4.3,6.97,10.75,5.66
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2022,255239454,205617668,460857122,63194526,10770494,34658553,711318894,650674974,489934722,160740252,-60643920,99154692,64.79,1.51,8.88,4.87,4.4,219.51,-0.81
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2023,261310667,216250458,477561125,70462148,27922271,40891740,768650008,724903532,716817029,8086503,-43746476,119189369,62.13,3.63,9.17,5.32,3.62,159.25,11.41
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2024,304910547,224354595,529265142,77561521,943560,28632944,796580938,732433662,717157336,15276326,-64147276,70961844,66.44,0.12,9.74,3.59,10.83,-96.62,1.04
106070934,SUTTER DELTA MEDICAL CENTER,2020,73677915,40872805,114550720,17600323,1316650,5980807,211636874,211442113,192431008,19011105,-194761,-24379,54.13,0.62,8.32,2.83,,,
106070934,SUTTER DELTA MEDICAL CENTER,2021,72558430,38018085,110576515,19155201,1302995,9827052,219095945,222229540,221657612,571928,3133595,14031722,50.47,0.59,8.74,4.49,-3.47,-1.04,5.1
106070934,SUTTER DELTA MEDICAL CENTER,2022,71126088,35699162,106825250,17579609,1241936,14763707,210396611,211123001,209466631,1656370,726390,-3126027,50.77,0.59,8.36,7.02,-3.39,-4.69,-5.0
106070934,SUTTER DELTA MEDICAL CENTER,2023,80175338,40473213,120648551,17600698,1274812,7917699,228474145,216762739,216225940,536799,-11711406,299355,52.81,0.56,7.7,3.47,12.94,2.65,2.67
